Unit,Mines,Output,Target,Achieved,Effective_Date
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.22,2021-04-17
ICC,SUDRA MINES,MIC Production,1267.258064516129,1112.0,2021-04-17
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-04-18
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.95,2021-04-18
ICC,SUDRA MINES,MIC Production,1267.258064516129,1120.0,2021-04-18
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-04-19
ICC,SUDRA MINES,Ore Production,32.25806451612903,28.5,2021-04-19
ICC,SUDRA MINES,MIC Production,1267.258064516129,856.0,2021-04-19
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.865,2021-04-20
ICC,SUDRA MINES,Ore Production,32.25806451612903,32.25806451612903,2021-04-20
ICC,SUDRA MINES,MIC Production,1267.258064516129,933.0,2021-04-20
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.79,2021-04-21
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.0,2021-04-21
ICC,SUDRA MINES,MIC Production,1267.258064516129,983.0,2021-04-21
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.82,2021-04-22
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.8,2021-04-22
ICC,SUDRA MINES,MIC Production,1267.258064516129,1020.0,2021-04-22
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.88,2021-04-23
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.12,2021-04-23
ICC,SUDRA MINES,MIC Production,1267.258064516129,1008.0,2021-04-23
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-04-24
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.9,2021-04-24
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-04-24
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-04-25
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.12,2021-04-25
ICC,SUDRA MINES,MIC Production,1267.258064516129,908.0,2021-04-25
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.86,2021-04-26
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.22,2021-04-26
ICC,SUDRA MINES,MIC Production,1267.258064516129,1112.0,2021-04-26
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-04-27
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.95,2021-04-27
ICC,SUDRA MINES,MIC Production,1267.258064516129,1120.0,2021-04-27
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-04-28
ICC,SUDRA MINES,Ore Production,32.25806451612903,28.5,2021-04-28
ICC,SUDRA MINES,MIC Production,1267.258064516129,856.0,2021-04-28
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.865,2021-04-29
ICC,SUDRA MINES,Ore Production,32.25806451612903,32.25806451612903,2021-04-29
ICC,SUDRA MINES,MIC Production,1267.258064516129,933.0,2021-04-29
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.79,2021-04-30
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.0,2021-04-30
ICC,SUDRA MINES,MIC Production,1267.258064516129,983.0,2021-04-30
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.82,2021-05-01
ICC,SUDRA MINES,Ore Production,39.6,29.8,2021-05-01
ICC,SUDRA MINES,MIC Production,1267.258064516129,1020.0,2021-05-01
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.88,2021-05-02
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-02
ICC,SUDRA MINES,MIC Production,1267.258064516129,1008.0,2021-05-02
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-05-03
ICC,SUDRA MINES,Ore Production,39.6,29.9,2021-05-03
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-05-03
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-05-04
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-04
ICC,SUDRA MINES,MIC Production,1267.258064516129,908.0,2021-05-04
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.86,2021-05-05
ICC,SUDRA MINES,Ore Production,39.6,30.22,2021-05-05
ICC,SUDRA MINES,MIC Production,1267.258064516129,1112.0,2021-05-05
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-05-06
ICC,SUDRA MINES,Ore Production,39.6,29.95,2021-05-06
ICC,SUDRA MINES,MIC Production,1267.258064516129,1120.0,2021-05-06
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-05-07
ICC,SUDRA MINES,Ore Production,39.6,28.5,2021-05-07
ICC,SUDRA MINES,MIC Production,1267.258064516129,856.0,2021-05-07
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.865,2021-05-08
ICC,SUDRA MINES,Ore Production,39.6,32.25806451612903,2021-05-08
ICC,SUDRA MINES,MIC Production,1267.258064516129,933.0,2021-05-08
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.79,2021-05-10
ICC,SUDRA MINES,Ore Production,39.6,29.0,2021-05-10
ICC,SUDRA MINES,MIC Production,1267.258064516129,983.0,2021-05-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.82,2021-05-10
ICC,SUDRA MINES,Ore Production,39.6,29.8,2021-05-10
ICC,SUDRA MINES,MIC Production,1267.258064516129,1020.0,2021-05-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.88,2021-05-11
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-11
ICC,SUDRA MINES,MIC Production,1267.258064516129,1008.0,2021-05-11
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-05-12
ICC,SUDRA MINES,Ore Production,39.6,29.9,2021-05-12
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-05-12
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-05-13
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-13
ICC,SUDRA MINES,MIC Production,1267.258064516129,908.0,2021-05-13
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.86,2021-05-14
ICC,SUDRA MINES,Ore Production,39.6,30.22,2021-05-14
ICC,SUDRA MINES,MIC Production,1267.258064516129,1112.0,2021-05-14
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-05-15
ICC,SUDRA MINES,Ore Production,39.6,29.95,2021-05-15
ICC,SUDRA MINES,MIC Production,1267.258064516129,1120.0,2021-05-15
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-05-16
ICC,SUDRA MINES,Ore Production,39.6,28.5,2021-05-16
ICC,SUDRA MINES,MIC Production,1267.258064516129,856.0,2021-05-16
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.865,2021-05-17
ICC,SUDRA MINES,Ore Production,39.6,32.25806451612903,2021-05-17
ICC,SUDRA MINES,MIC Production,1267.258064516129,933.0,2021-05-17
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.79,2021-05-18
ICC,SUDRA MINES,Ore Production,39.6,29.0,2021-05-18
ICC,SUDRA MINES,MIC Production,1267.258064516129,983.0,2021-05-18
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.82,2021-05-19
ICC,SUDRA MINES,Ore Production,39.6,29.8,2021-05-19
ICC,SUDRA MINES,MIC Production,1267.258064516129,1020.0,2021-05-19
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.88,2021-05-20
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-20
ICC,SUDRA MINES,MIC Production,1267.258064516129,1008.0,2021-05-20
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-05-21
ICC,SUDRA MINES,Ore Production,39.6,29.9,2021-05-21
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-05-21
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-05-22
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-22
ICC,SUDRA MINES,MIC Production,1267.258064516129,908.0,2021-05-22
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.86,2021-05-23
ICC,SUDRA MINES,Ore Production,39.6,30.22,2021-05-23
ICC,SUDRA MINES,MIC Production,1267.258064516129,1112.0,2021-05-23
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-05-24
ICC,SUDRA MINES,Ore Production,39.6,29.95,2021-05-24
ICC,SUDRA MINES,MIC Production,1267.258064516129,1120.0,2021-05-24
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-05-25
ICC,SUDRA MINES,Ore Production,39.6,28.5,2021-05-25
ICC,SUDRA MINES,MIC Production,1267.258064516129,856.0,2021-05-25
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.865,2021-05-26
ICC,SUDRA MINES,Ore Production,39.6,32.25806451612903,2021-05-26
ICC,SUDRA MINES,MIC Production,1267.258064516129,933.0,2021-05-26
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.79,2021-05-27
ICC,SUDRA MINES,Ore Production,39.6,29.0,2021-05-27
ICC,SUDRA MINES,MIC Production,1267.258064516129,983.0,2021-05-27
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.82,2021-05-28
ICC,SUDRA MINES,Ore Production,39.6,29.8,2021-05-28
ICC,SUDRA MINES,MIC Production,1267.258064516129,1020.0,2021-05-28
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.88,2021-05-29
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-29
ICC,SUDRA MINES,MIC Production,1267.258064516129,1008.0,2021-05-29
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-05-30
ICC,SUDRA MINES,Ore Production,39.6,29.9,2021-05-30
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-05-30
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-05-31
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-05-31
ICC,SUDRA MINES,MIC Production,1267.258064516129,908.0,2021-05-31
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.86,2021-06-01
ICC,SUDRA MINES,Ore Production,38.6,30.22,2021-06-01
ICC,SUDRA MINES,MIC Production,1280.0,1112.0,2021-06-01
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-02
ICC,SUDRA MINES,Ore Production,38.6,29.95,2021-06-02
ICC,SUDRA MINES,MIC Production,1280.0,1120.0,2021-06-02
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-03
ICC,SUDRA MINES,Ore Production,38.6,28.5,2021-06-03
ICC,SUDRA MINES,MIC Production,1280.0,856.0,2021-06-03
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.865,2021-06-04
ICC,SUDRA MINES,Ore Production,38.6,32.25806451612903,2021-06-04
ICC,SUDRA MINES,MIC Production,1280.0,933.0,2021-06-04
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.79,2021-06-05
ICC,SUDRA MINES,Ore Production,38.6,29.0,2021-06-05
ICC,SUDRA MINES,MIC Production,1280.0,983.0,2021-06-05
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.82,2021-06-06
ICC,SUDRA MINES,Ore Production,38.6,29.8,2021-06-06
ICC,SUDRA MINES,MIC Production,1280.0,1020.0,2021-06-06
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.88,2021-06-07
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-06-07
ICC,SUDRA MINES,MIC Production,1280.0,1008.0,2021-06-07
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.87,2021-06-08
ICC,SUDRA MINES,Ore Production,38.6,29.9,2021-06-08
ICC,SUDRA MINES,MIC Production,1280.0,1103.0,2021-06-08
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.89,2021-06-10
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-06-10
ICC,SUDRA MINES,MIC Production,1280.0,908.0,2021-06-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.86,2021-06-10
ICC,SUDRA MINES,Ore Production,38.6,30.22,2021-06-10
ICC,SUDRA MINES,MIC Production,1280.0,1112.0,2021-06-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-11
ICC,SUDRA MINES,Ore Production,38.6,29.95,2021-06-11
ICC,SUDRA MINES,MIC Production,1280.0,1120.0,2021-06-11
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-12
ICC,SUDRA MINES,Ore Production,38.6,28.5,2021-06-12
ICC,SUDRA MINES,MIC Production,1280.0,856.0,2021-06-12
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.865,2021-06-13
ICC,SUDRA MINES,Ore Production,38.6,32.25806451612903,2021-06-13
ICC,SUDRA MINES,MIC Production,1280.0,933.0,2021-06-13
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.79,2021-06-14
ICC,SUDRA MINES,Ore Production,38.6,29.0,2021-06-14
ICC,SUDRA MINES,MIC Production,1280.0,983.0,2021-06-14
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.82,2021-06-15
ICC,SUDRA MINES,Ore Production,38.6,29.8,2021-06-15
ICC,SUDRA MINES,MIC Production,1280.0,1020.0,2021-06-15
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.88,2021-06-16
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-06-16
ICC,SUDRA MINES,MIC Production,1280.0,1008.0,2021-06-16
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.87,2021-06-17
ICC,SUDRA MINES,Ore Production,38.6,29.9,2021-06-17
ICC,SUDRA MINES,MIC Production,1280.0,1103.0,2021-06-17
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.89,2021-06-18
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-06-18
ICC,SUDRA MINES,MIC Production,1280.0,908.0,2021-06-18
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.86,2021-06-19
ICC,SUDRA MINES,Ore Production,38.6,30.22,2021-06-19
ICC,SUDRA MINES,MIC Production,1280.0,1112.0,2021-06-19
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-20
ICC,SUDRA MINES,Ore Production,38.6,29.95,2021-06-20
ICC,SUDRA MINES,MIC Production,1280.0,1120.0,2021-06-20
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-21
ICC,SUDRA MINES,Ore Production,38.6,28.5,2021-06-21
ICC,SUDRA MINES,MIC Production,1280.0,856.0,2021-06-21
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.865,2021-06-22
ICC,SUDRA MINES,Ore Production,38.6,32.25806451612903,2021-06-22
ICC,SUDRA MINES,MIC Production,1280.0,933.0,2021-06-22
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.79,2021-06-23
ICC,SUDRA MINES,Ore Production,38.6,29.0,2021-06-23
ICC,SUDRA MINES,MIC Production,1280.0,983.0,2021-06-23
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.82,2021-06-24
ICC,SUDRA MINES,Ore Production,38.6,29.8,2021-06-24
ICC,SUDRA MINES,MIC Production,1280.0,1020.0,2021-06-24
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.88,2021-06-25
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-06-25
ICC,SUDRA MINES,MIC Production,1280.0,1008.0,2021-06-25
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.87,2021-06-26
ICC,SUDRA MINES,Ore Production,38.6,29.9,2021-06-26
ICC,SUDRA MINES,MIC Production,1280.0,1103.0,2021-06-26
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.89,2021-06-27
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-06-27
ICC,SUDRA MINES,MIC Production,1280.0,908.0,2021-06-27
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.86,2021-06-28
ICC,SUDRA MINES,Ore Production,38.6,30.22,2021-06-28
ICC,SUDRA MINES,MIC Production,1280.0,1112.0,2021-06-28
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-29
ICC,SUDRA MINES,Ore Production,38.6,29.95,2021-06-29
ICC,SUDRA MINES,MIC Production,1280.0,1120.0,2021-06-29
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-06-30
ICC,SUDRA MINES,Ore Production,38.6,28.5,2021-06-30
ICC,SUDRA MINES,MIC Production,1280.0,856.0,2021-06-30
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.865,2021-07-01
ICC,SUDRA MINES,Ore Production,38.6,32.25806451612903,2021-07-01
ICC,SUDRA MINES,MIC Production,1280.0,933.0,2021-07-01
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.79,2021-07-02
ICC,SUDRA MINES,Ore Production,38.6,29.0,2021-07-02
ICC,SUDRA MINES,MIC Production,1280.0,983.0,2021-07-02
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.82,2021-07-03
ICC,SUDRA MINES,Ore Production,38.6,29.8,2021-07-03
ICC,SUDRA MINES,MIC Production,1280.0,1020.0,2021-07-03
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.88,2021-07-04
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-07-04
ICC,SUDRA MINES,MIC Production,1280.0,1008.0,2021-07-04
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.87,2021-07-05
ICC,SUDRA MINES,Ore Production,38.6,29.9,2021-07-05
ICC,SUDRA MINES,MIC Production,1280.0,1103.0,2021-07-05
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.89,2021-07-06
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-07-06
ICC,SUDRA MINES,MIC Production,1280.0,908.0,2021-07-06
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.86,2021-07-07
ICC,SUDRA MINES,Ore Production,38.6,30.22,2021-07-07
ICC,SUDRA MINES,MIC Production,1280.0,1112.0,2021-07-07
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-07-08
ICC,SUDRA MINES,Ore Production,38.6,29.95,2021-07-08
ICC,SUDRA MINES,MIC Production,1280.0,1120.0,2021-07-08
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-07-10
ICC,SUDRA MINES,Ore Production,38.6,28.5,2021-07-10
ICC,SUDRA MINES,MIC Production,1280.0,856.0,2021-07-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.865,2021-07-10
ICC,SUDRA MINES,Ore Production,38.6,32.25806451612903,2021-07-10
ICC,SUDRA MINES,MIC Production,1280.0,933.0,2021-07-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.79,2021-07-11
ICC,SUDRA MINES,Ore Production,38.6,29.0,2021-07-11
ICC,SUDRA MINES,MIC Production,1280.0,983.0,2021-07-11
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.82,2021-07-12
ICC,SUDRA MINES,Ore Production,38.6,29.8,2021-07-12
ICC,SUDRA MINES,MIC Production,1280.0,1020.0,2021-07-12
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.88,2021-07-13
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-07-13
ICC,SUDRA MINES,MIC Production,1280.0,1008.0,2021-07-13
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.87,2021-07-14
ICC,SUDRA MINES,Ore Production,38.6,29.9,2021-07-14
ICC,SUDRA MINES,MIC Production,1280.0,1103.0,2021-07-14
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.89,2021-07-15
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-07-15
ICC,SUDRA MINES,MIC Production,1280.0,908.0,2021-07-15
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.86,2021-07-16
ICC,SUDRA MINES,Ore Production,38.6,30.22,2021-07-16
ICC,SUDRA MINES,MIC Production,1280.0,1112.0,2021-07-16
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-07-17
ICC,SUDRA MINES,Ore Production,38.6,29.95,2021-07-17
ICC,SUDRA MINES,MIC Production,1280.0,1120.0,2021-07-17
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-07-18
ICC,SUDRA MINES,Ore Production,38.6,28.5,2021-07-18
ICC,SUDRA MINES,MIC Production,1280.0,856.0,2021-07-18
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.865,2021-07-19
ICC,SUDRA MINES,Ore Production,38.6,32.25806451612903,2021-07-19
ICC,SUDRA MINES,MIC Production,1280.0,933.0,2021-07-19
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.79,2021-07-20
ICC,SUDRA MINES,Ore Production,38.6,29.0,2021-07-20
ICC,SUDRA MINES,MIC Production,1280.0,983.0,2021-07-20
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.82,2021-07-21
ICC,SUDRA MINES,Ore Production,38.6,29.8,2021-07-21
ICC,SUDRA MINES,MIC Production,1280.0,1020.0,2021-07-21
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.88,2021-07-22
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-07-22
ICC,SUDRA MINES,MIC Production,1280.0,1008.0,2021-07-22
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.87,2021-07-23
ICC,SUDRA MINES,Ore Production,38.6,29.9,2021-07-23
ICC,SUDRA MINES,MIC Production,1280.0,1103.0,2021-07-23
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.89,2021-07-24
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-07-24
ICC,SUDRA MINES,MIC Production,1280.0,908.0,2021-07-24
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.86,2021-07-25
ICC,SUDRA MINES,Ore Production,38.6,30.22,2021-07-25
ICC,SUDRA MINES,MIC Production,1280.0,1112.0,2021-07-25
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-07-26
ICC,SUDRA MINES,Ore Production,38.6,29.95,2021-07-26
ICC,SUDRA MINES,MIC Production,1280.0,1120.0,2021-07-26
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.85,2021-07-27
ICC,SUDRA MINES,Ore Production,38.6,28.5,2021-07-27
ICC,SUDRA MINES,MIC Production,1280.0,856.0,2021-07-27
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.865,2021-07-28
ICC,SUDRA MINES,Ore Production,38.6,32.25806451612903,2021-07-28
ICC,SUDRA MINES,MIC Production,1280.0,933.0,2021-07-28
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.79,2021-07-29
ICC,SUDRA MINES,Ore Production,38.6,29.0,2021-07-29
ICC,SUDRA MINES,MIC Production,1280.0,983.0,2021-07-29
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.82,2021-07-30
ICC,SUDRA MINES,Ore Production,38.6,29.8,2021-07-30
ICC,SUDRA MINES,MIC Production,1280.0,1020.0,2021-07-30
ICC,SUDRA MINES,Ore Grade (%Cu),0.95,0.88,2021-07-31
ICC,SUDRA MINES,Ore Production,38.6,30.12,2021-07-31
ICC,SUDRA MINES,MIC Production,1280.0,1008.0,2021-07-31
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-08-01
ICC,SUDRA MINES,Ore Production,39.6,29.9,2021-08-01
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-08-01
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-08-02
ICC,SUDRA MINES,Ore Production,39.6,30.12,2021-08-02
